표준ID,ARS-ID,정류장명,위도,경도,비고
100900176,1599,광화문한국통신,37.57190187,126.9773172,
100900119,1607,EN갤러리,37.61340635,126.9707008,
100900118,1667,종로문화센터,37.57464708,126.9646262,
100900117,1682,동대문역.2번출구,37.57204945,127.0117218,
100900116,1683,종각역YMCA,37.57033935,126.9850715,
100900115,1684,서교빌라,37.60198906,126.9571554,
100900177,1685,경복궁역,37.57707221,126.9724733,
100900195,1686,연건동,37.57612566,127.000745,
100900199,1697,성대입구,37.5832668,126.998853,
100900114,1698,무애사,37.61390043,126.9718458,
100900113,1699,단군성전앞,37.57556009,126.9653175,
100900192,1702,동대문종합시장,37.57117606,127.00614,
100900112,1714,상명초등학교,37.60092381,126.9567154,
100900179,1720,법련사,37.57658798,126.9796651,
100900111,1721,광화문새마을금고,37.57949309,126.9710277,
100900110,1722,성균관대학교,37.58503111,126.9972179,
100900109,1723,제1놀이터,37.61457226,126.9741212,
100900108,1724,활터앞,37.57681261,126.9653294,
100900107,1725,종로5가.3번출구,37.57141925,127.0020898,
100900106,1727,인사동들머리.3.1독립선언터,37.57194702,126.983297,
100900105,1728,정독도서관,37.58019153,126.9802007,
100900104,1729,오거리.한옥마을입구,37.57946844,126.9697393,
100900103,1732,밀알기도원,37.6163964,126.9757439,
100000360,1733,창경궁.고궁호텔.메이플레이스호텔,37.57655816,126.9974492,
100000329,1762,광화문,37.57032604,126.9738332,
100000330,1763,종로1가,37.57037,126.980129,
100000333,1766,종로2가,37.56996853,126.9855751,
100000334,1767,종로3가,37.57058964,126.9931553,
100000335,1768,종로3가,37.57010243,126.9909932,
100000336,1769,종로4가,37.57042081,126.99688,
100000338,1771,동대문종합시장종로6가,37.57079206,127.0032061,
100900102,1776,종로도서관,37.57648423,126.9671252,
100000343,1777,경복궁역,37.57617809,126.9715056,
100000344,1778,경복궁역,37.57575544,126.9713156,
100000345,1779,안국역,37.57661375,126.9852296,
100000346,1780,안국역,37.57631851,126.985506,
100000347,1781,창덕궁,37.5775279,126.9887919,
100000348,1782,성대입구,37.58358759,126.9997033,
100900101,1790,종로사우나,37.57380111,126.9877504,
100900180,1791,엄마분식,37.60124243,126.9557163,
100900100,1792,삼청파출소,37.58164517,126.9813258,
100900099,1793,통인시장.종로구보건소,37.58033503,126.9687505,
100900191,1794,종로5가역,37.57067136,127.0000249,
100900098,1795,평창공원지킴터입구,37.61723737,126.9770474,
100900145,1796,배화여중고,37.57675563,126.9678157,
100900143,1797,대학로입구.이화사거리,37.57598417,127.0025802,
100900144,1798,운현궁,37.57527161,126.9869814,
100900142,1799,상명대입구,37.60002101,126.9569583,
100900141,1800,삼청동주민센터,37.58468468,126.9822105,
100900140,1801,박노수미술관,37.58102656,126.9668945,
100900139,1802,명동의류,37.616305,126.9783685,
100900138,1803,사직동주민센터,37.57622069,126.9689039,
100900137,1804,충신시장,37.57497665,127.0054049,
100900189,1805,안국역2번출구앞,37.57717282,126.9861183,
100900135,1807,금융연수원,37.58587767,126.9818479,
100900134,1809,감람산기도원,37.61594393,126.979873,
100900133,1810,카센터.터널앞,37.57416446,126.9658593,
100900131,1812,재동초등학교,37.57879109,126.9853617,
100900129,1814,교육과정평가원,37.58741852,126.9817445,
100900128,1815,이화사거리,37.57532007,127.0022813,
100900127,1816,연화정사,37.614649,126.9794938,
100900126,1817,대신중고,37.57261781,126.9616893,
100900125,1819,현대사거리,37.57924178,126.9866354,
100900215,1820,교남동주민센터,37.5721523,126.96128,
100900181,1821,부암동주민센터.무계원,37.59293534,126.9637682,
100900124,1823,형제봉매표소,37.61286432,126.9816862,
100900123,1824,교남동새마을금고,37.57149436,126.9623375,
100900122,1825,창신초교,37.57603721,127.0157201,
100900168,1826,가회동주민센터,37.57994265,126.9851294,
100900167,1827,볼링장,37.57925544,126.9879589,
100900166,1829,부암슈퍼,37.59476007,126.9638602,
100900165,1830,지구촌교회,37.61304685,126.9793482,
100900164,1831,월암공원,37.57118847,126.9639861,
100900163,1832,숭인1동주민센터,37.577415,127.0155607,
100900162,1833,북촌한옥마을입구.정세권활동터,37.58128077,126.9851687,
100900161,1835,하림각,37.59768473,126.9629664,
100900160,1836,보현빌라,37.61526153,126.9782816,
