순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
3375,1,16-0000004055,1,2,380,590,220,1,2,2,105,'','','',805,2000-0000-000,16-004055,'',37.6150271,127.0734027
3706,1,16-0000004875,1,2,380,590,220,1,2,2,105,'','','',453,2000-0000-000,16-004875,'',37.5745252,126.9012013
2689,1,16-0000002724,1,1,220,590,220,1,2,2,105,'','','',1685,2000-0000-000,16-002724,'',37.5165761,127.0321687
2747,1,16-0000004868,1,2,380,590,220,1,2,2,105,'','','',189,2000-0000-000,16-004868,'',37.6576054,127.0297302
3419,1,16-0000004051,1,2,380,590,220,1,2,2,105,'','','',654,2000-0000-000,16-004051,'',37.5751076,126.9385361
7064,1,16-0000002963,1,1,220,590,220,3,2,2,105,'','','',7192,5,16-002963,5,37.5089311,126.9138113
7742,1,16-0000004631,1,2,380,590,220,1,2,2,105,'','','',6425,2000-0000-000,16-004631,'',37.4946757,126.8263063
7396,1,16-0000006871,1,1,220,590,220,1,2,2,105,'','','',9273,5,16-006871,5,37.5122954,126.893804
6808,1,16-0000006875,1,1,220,590,220,1,2,2,105,'','','',8113,4,16-006875,4,37.5826055,126.9496831
7368,1,16-0000008396,1,2,220,590,220,1,2,2,105,'','','',10024,2000-0000-000,16-008396,'',37.5424248,127.050432
7373,1,16-0000006760,1,1,220,590,220,1,2,2,105,'','','',8990,5,16-006760,5,37.5979465,127.0391539
7853,1,16-0000001522,1,1,220,590,220,1,2,2,105,'','','',163,2000-0000-000,16-001522,'',37.5627615,126.9512105
7391,1,16-0000004407,1,2,380,590,220,1,2,2,105,'','','',6419,2000-0000-000,16-004407,'',37.5506316,126.9064657
7523,1,16-0000007884,1,2,220,590,220,1,2,2,105,'','','',10527,2000-0000-000,16-007884,'',37.5998189,127.0411134
7818,1,16-0000006872,1,1,220,590,220,1,2,2,105,'','','',9275,4,16-006872,4,37.6735857,127.0530253
7825,1,16-0000007883,1,1,220,590,220,3,2,2,105,'','','',10524,5,16-007883,5,37.5528587,127.0307495
6807,1,16-0000006873,1,1,220,590,220,1,2,2,105,'','','',8111,4,16-006873,4,37.5827799,126.9486292
7537,1,16-0000004873,1,2,380,590,220,1,2,2,105,'','','',5955,2000-0000-000,16-004873,'',37.6043261,126.9234345
6864,1,16-0000007885,1,1,220,590,220,1,2,2,105,'','','',10528,5,16-007885,5,37.5508359,127.0711293
6865,1,16-0000007886,1,1,220,590,220,3,2,1,105,'','','',10529,5,16-007886,5,37.5353566,127.0711188
6878,1,16-0000006020,1,2,380,590,220,1,2,2,105,'','','',8608,2005-0108-179,16-006020,1,37.5500895,126.9462361
7568,1,16-0000006848,1,2,220,590,220,1,2,1,105,'','','',7079,1,16-006848,1,37.5628414,127.0210533
6573,1,16-0000007207,1,2,220,590,220,3,2,1,105,'','','',7471,1,16-007207,1,37.5765988,126.9916599
7572,1,16-0000004625,1,2,380,590,220,1,2,2,105,'','','',7808,2000-0000-000,16-004625,'',37.4499855,126.9013009
7584,1,16-0000009108,1,2,220,590,220,1,2,1,105,'','','',9741,2000-0000-000,16-009108,'',37.5968479,127.0134781
6969,1,16-0000002929,1,1,220,590,220,1,2,2,105,'','','',7805,2000-0000-000,16-002929,'',37.5618867,127.0193059
7177,1,16-0000008366,1,2,220,590,220,1,2,2,105,'','','',10861,4,16-008366,4,37.5230597,127.1044376
7178,1,16-0000008365,1,2,220,590,220,1,2,2,105,'','','',10862,4,16-008365,4,37.5664037,127.0222051
7179,1,16-0000008364,1,2,220,590,220,1,2,2,105,'','','',10863,4,16-008364,4,37.5665668,127.0220265
7180,1,16-0000008363,1,2,220,590,220,1,2,1,105,'','','',10864,4,16-008363,4,37.5660708,127.0212307
7181,1,16-0000008386,1,2,220,590,220,1,2,2,105,'','','',10867,2000-0000-000,16-008386,'',37.5538984,127.125463
