GU_CDE,DONG_CDE,JIBUN,geometry,X좌표,Y좌표
590,10500,204-136구,POINT (196323.8013215338 545274.8595913864),196323.8013215338,545274.8595913864
590,10500,221-1도,POINT (196327.8274648321 545261.5556225695),196327.8274648321,545261.5556225695
590,10500,195-16 대,POINT (196353.0773316869 545289.6365893667),196353.07733168692,545289.6365893667
590,10500,221학,POINT (196328.5451112091 545207.2442590308),196328.5451112091,545207.2442590308
590,10800,64-13도,POINT (193679.0083232577 545956.2476324675),193679.0083232577,545956.2476324675
590,10400,126-3 도,POINT (195904.8769356813 545932.4774606867),195904.8769356813,545932.4774606867
590,10500,86 학,POINT (196491.3336226511 544713.5977721717),196491.3336226511,544713.5977721717
590,10500,86-201 도,POINT (196483.552607551 544613.0158016151),196483.552607551,544613.0158016151
590,10800,375-1학,POINT (193451.9617278669 544811.6263175119),193451.9617278669,544811.6263175119
590,10500,86-93도,POINT (196474.3668623662 544619.252275494),196474.3668623662,544619.2522754939
590,10800,466-31도,POINT (193449.0997245079 545720.0555151526),193449.0997245079,545720.0555151526
590,10800,466-31도,POINT (193426.2201009354 545721.7305639433),193426.2201009354,545721.7305639433
590,10500,141-2공,POINT (196661.0762051734 545349.8592004704),196661.0762051734,545349.8592004704
590,10900,343-1도,POINT (193604.7691618083 544158.2490292669),193604.76916180828,544158.2490292669
590,10900,345-2도,POINT (193619.6885847859 544242.0653161436),193619.6885847859,544242.0653161436
590,10900,343-77대,POINT (193595.1778609004 544107.9941733155),193595.17786090038,544107.9941733155
590,10900,342-41대,POINT (193651.4673019158 544058.4247506735),193651.46730191578,544058.4247506735
590,10600,66-29도,POINT (198454.1467049966 543929.8190434302),198454.14670499662,543929.8190434303
590,10300,56-99대,POINT (195820.6691848088 544244.2304946943),195820.6691848088,544244.2304946943
590,10100,114-8도,POINT (195073.657860043 545973.2920784219),195073.65786004302,545973.2920784219
590,10700,708-535 도,POINT (196771.8309786949 543249.4076658867),196771.8309786949,543249.4076658867
590,10800,400-8대,POINT (192971.6977873671 544436.4403537007),192971.6977873671,544436.4403537007
590,10800,407-9제,POINT (192964.809297133 544330.2343411533),192964.809297133,544330.2343411533
590,10900,378-10도,POINT (193008.9490488406 544301.8166970533),193008.9490488406,544301.8166970533
590,10800,407-8대,POINT (193018.4388418524 544305.5897326779),193018.4388418524,544305.5897326779
590,10700,산24-17임,POINT (197692.8467727699 542656.2039458498),197692.84677276987,542656.2039458498
590,10700,265-17도,POINT (197712.0715107031 542640.8110930127),197712.0715107031,542640.8110930127
590,10700,산24-17임,POINT (197571.1049186292 542728.4176972972),197571.10491862922,542728.4176972972
590,10700,169-32대,POINT (197326.3267538779 542868.407650269),197326.3267538779,542868.407650269
590,10700,169-32대,POINT (197251.3855382371 542941.1655837036),197251.3855382371,542941.1655837036
590,10700,226-5 도,POINT (197233.130373146 542940.0872795025),197233.130373146,542940.0872795025
590,10700,산31-6임,POINT (197144.04400262 543051.0307180664),197144.04400262,543051.0307180664
590,10700,1129도,POINT (198007.4045741949 541910.256022191),198007.4045741949,541910.256022191
590,10700,1129도,POINT (197515.5547814041 541825.1736944492),197515.5547814041,541825.1736944492
590,10700,1129도,POINT (197582.6157801768 541844.6117020762),197582.6157801768,541844.6117020762
590,10900,702-2천,POINT (191493.930282371 542886.5011406537),191493.930282371,542886.5011406536
590,10900,686-48대,POINT (191569.8351288388 543003.4460779709),191569.83512883878,543003.4460779709
590,10900,699-3도,POINT (191614.2046617579 543071.7111788258),191614.2046617579,543071.7111788258
590,10700,1129도,POINT (198087.6335404342 541933.1326925331),198087.6335404342,541933.1326925331
590,10700,105대,POINT (197910.1664913088 543425.7966262468),197910.1664913088,543425.7966262468
590,10700,59-1도,POINT (197944.7158399402 543671.7185043711),197944.71583994018,543671.7185043711
590,10900,378-10도,POINT (193105.2230826302 544269.9599575785),193105.2230826302,544269.9599575786
590,10900,395-61도,POINT (193159.1144006431 543428.2886264201),193159.1144006431,543428.2886264201
590,10700,708-975도,POINT (197064.9664908285 542588.525116628),197064.96649082852,542588.5251166279
590,10700,산32-87임,POINT (196980.077672876 542428.1994238837),196980.077672876,542428.1994238837
590,10600,산18-4임,POINT (198458.1072852219 543966.8502233209),198458.10728522192,543966.8502233209
