표준ID,ARS-ID,정류장명,위도,경도,비고,UTM-K_위도변환,UTM-K_경도변환
100900092,1570,아름다운가게.정독도서관,37.57889917,126.985022,,553261.0727,198676.9585
100900091,1571,산정빌라,37.60515199,126.9574922,,556175.5851,196246.506
100900090,1572,이화사거리,37.57646986,127.0020107,,552991.3436,200177.6156
100900089,1573,혜원사,37.61431026,126.9676873,,557191.6946,197147.0965
100900088,1574,무악현대아파트후문,37.57630608,126.962001,,552973.8428,196643.3437
100900086,1576,헌법재판소.안국역,37.57755843,126.9856756,,553112.2569,198734.6698
100900184,1577,청구빌라,37.60461026,126.956984,,556115.4794,196201.6038
100900085,1578,서울대어린이병원응급실.갑상선센터,37.57811888,126.999503,,553174.3641,199956.0984
100900083,1580,화인빌라,37.61293453,126.9685386,,557038.9779,197222.207
100900082,1581,넓은마당,37.57527281,126.962888,,552859.1304,196721.6519
100900207,1582,창신초등학교,37.5769032,127.0153886,,553039.5488,201359.347
100900081,1583,수운회관,37.57515983,126.9865172,,552846.029,198808.9734
100900080,1584,상명대후문,37.60402558,126.9573354,,556050.5722,196232.6036
100900079,1586,힐탑,37.61160556,126.9690206,,556891.4625,197264.7151
100900187,1587,신학대학교총회본부,37.57397631,126.9634446,,552715.2146,196770.7641
100900078,1589,낙원상가,37.57367762,126.9872919,,552681.5113,198877.3857
100900077,1590,완성빌라,37.60340209,126.9575011,,555981.365,196247.204
100900076,1591,서울대병원장례식장,37.5805554,126.997431,,553444.7929,199773.0793
100900075,1592,혜화역1번출구,37.58345422,127.0019407,,553766.5274,200171.4161
100900074,1593,파라과이대사관,37.61240596,126.9699479,,556980.2716,197346.6183
100900073,1594,한국사회과학자료원,37.57363321,126.9641433,,552677.1107,196832.4714
100900205,1595,동묘역,37.57269435,127.0142454,,552572.3992,201258.4337
100900121,1596,금강제화,37.57054454,126.9874384,,552333.774,198890.2808
100900120,1597,경진빌라,37.60200372,126.9578304,,555826.1483,196276.2126
100900198,1598,성균관대학교앞,37.58330826,126.9993659,,553750.326,199943.9918
100900176,1599,광화문한국통신,37.57190187,126.9773172,,552484.5895,197996.1881
100900119,1607,EN갤러리,37.61340635,126.9707008,,557091.2831,197413.1285
100900118,1667,종로문화센터,37.57464708,126.9646262,,552789.6224,196875.1724
100900117,1682,동대문역.2번출구,37.57204945,127.0117218,,552500.7919,201035.5086
100900116,1683,종각역YMCA,37.57033935,126.9850715,,552311.0309,198681.18
100900115,1684,서교빌라,37.60198906,126.9571554,,555824.5482,196216.606
100900177,1685,경복궁역,37.57707221,126.9724733,,553058.5518,197568.4433
100900195,1686,연건동,37.57612566,127.000745,,552953.1398,200065.81
100900199,1697,성대입구,37.5832668,126.998853,,553745.7248,199898.6887
100900114,1698,무애사,37.61390043,126.9718458,,557146.0897,197514.2388
100900113,1699,단군성전앞,37.57556009,126.9653175,,552890.9332,196936.2775
100900192,1702,동대문종합시장,37.57117606,127.00614,,552403.8089,200542.4165
100900112,1714,상명초등학교,37.60092381,126.9567154,,555706.335,196177.6973
100900179,1720,법련사,37.57658798,126.9796651,,553004.6461,198203.7156
100900111,1721,광화문새마을금고,37.57949309,126.9710277,,553327.2801,197440.8298
100900110,1722,성균관대학교,37.58503111,126.9972179,,553941.5462,199754.2708
100900109,1723,제1놀이터,37.61457226,126.9741212,,557220.5977,197715.1566
100900108,1724,활터앞,37.57681261,126.9653294,,553029.9481,196937.38
100900107,1725,종로5가.3번출구,37.57141925,127.0020898,,552430.7845,200184.6153
100900106,1727,인사동들머리.3.1독립선언터,37.57194702,126.983297,,552489.4899,198524.4481
100900105,1728,정독도서관,37.58019153,126.9802007,,553404.5886,198251.1121
100900104,1729,오거리.한옥마을입구,37.57946844,126.9697393,,553324.5801,197327.0225
100900103,1732,밀알기도원,37.6163964,126.9757439,,557423.0193,197858.4773
100000360,1733,창경궁.고궁호텔.메이플레이스호텔,37.57655816,126.9974492,,553001.1451,199774.6749
100000329,1762,광화문,37.57032604,126.9738332,,552309.7707,197688.3608
100000330,1763,종로1가,37.57037,126.980129,,552314.5135,198244.5483
100000333,1766,종로2가,37.56996853,126.9855751,,552269.8672,198725.6629
100000334,1767,종로3가,37.57058964,126.9931553,,552338.7274,199395.3246
100000335,1768,종로3가,37.57010243,126.9909932,,552284.6689,199204.3149
100000336,1769,종로4가,37.57042081,126.99688,,552319.9718,199724.3719
100000338,1771,동대문종합시장종로6가,37.57079206,127.0032061,,552361.1765,200283.233
100900102,1776,종로도서관,37.57648423,126.9671252,,552993.4447,197095.9988
100000343,1777,경복궁역,37.57617809,126.9715056,,552959.3403,197482.9319
100000344,1778,경복궁역,37.57575544,126.9713156,,552912.4361,197466.1338
100000345,1779,안국역,37.57661375,126.9852296,,553007.4144,198695.2564
100000346,1780,안국역,37.57631851,126.985506,,552974.6424,198719.6672
100000347,1781,창덕궁,37.5775279,126.9887919,,553108.831,199009.9444
100000348,1782,성대입구,37.58358759,126.9997033,,553781.3283,199973.7934
100900101,1790,종로사우나,37.57380111,126.9877504,,552695.2118,198917.8906
