순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
9355,1,16-0000007873,1,1,220,590,220,3,2,2,105,'','','',9942,1,16-007873,1,37.5651187,127.1734318,551745.6332,215322.4623
9416,1,16-0000007877,1,1,220,590,220,1,2,2,105,'','','',9946,5,16-007877,5,37.5627864,127.0541998,551474.0179,204788.6258
8432,1,16-0000011335,1,1,220,590,220,1,2,'',105,3135841,'','',16536,'',16-011335,1,37.4860842,127.0987903,542964.2359,208737.1982
8433,1,16-0000002955,1,1,220,590,220,1,2,2,105,'','','',1406,2000-0000-000,16-002955,'',37.5151605,127.0319295,546187.2236,202822.8093
8452,1,16-0000008273,1,1,220,590,220,1,2,2,105,'','','',6261,10,16-008273,10,37.5044425,126.9429269,544998.7138,194953.5846
8460,1,16-0000002952,1,1,220,590,220,1,2,2,105,'','','',3689,2000-0000-000,16-002952,'',37.4896402,127.1051328,543359.5127,209297.7001
9150,1,16-0000006763,1,2,220,590,220,1,2,2,105,3162382,'','',9935,5,16-006763,1,37.4987626,126.9372711,544368.6366,194453.0773
9151,1,16-0000007867,1,1,380,590,220,3,2,2,105,'','','',9936,5,16-007867,5,37.4968878,126.9335135,544160.7862,194120.6574
9163,1,16-0000005300,1,1,220,590,220,1,2,2,105,'','','',11402,2000-0000-000,16-005300,'',37.4759119,126.9008145,541835.2824,191226.6603
9184,1,16-0000002971,1,1,220,590,220,1,2,2,105,'','','',11991,2006-1108-042,16-002971,1,37.5947061,127.0757515,555018.0554,206689.8914
9185,1,16-0000002969,1,1,220,590,220,1,2,2,105,'','','',11992,2006-1108-042,16-002969,1,37.6189252,126.9348256,557705.4099,194246.0769
9186,1,16-0000002968,1,1,220,590,220,1,2,2,105,'','','',11993,2006-1108-042,16-002968,1,37.6181572,126.9352092,557620.1467,194279.8842
8154,1,16-0000004408,1,2,380,590,220,1,2,2,105,'','','',7008,2000-0000-000,16-004408,'',37.6238918,127.0895537,558258.4236,207905.7245
8161,1,16-0000006859,1,1,220,590,220,1,2,2,105,'','','',6402,5,16-006859,5,37.5633688,127.0195664,551537.4566,201728.7044
8487,1,16-0000006849,1,2,220,590,220,1,2,2,105,'','','',7080,1,16-006849,1,37.5627234,127.0210208,551465.8525,201857.2177
8844,1,16-0000004633,1,2,380,590,220,1,2,2,105,'','','',430,2005-0108-179,16-004633,1,37.6284099,127.0687648,558758.3371,206070.1304
9195,1,16-0000008394,1,2,220,590,220,1,2,2,105,'','','',10949,2000-0000-000,16-008394,'',37.4959758,127.0334686,544058.0158,202959.6347
8503,1,16-0000010867,1,2,220,590,220,1,2,1,105,'','','',13381,2000-0000-000,16-010867,'',37.4953041,126.9571341,543983.8028,196209.3263
8518,1,16-0000009524,1,2,220,590,220,1,2,2,105,'','','',15925,2000-0000-000,16-009524,'',37.4883449,127.0983639,543215.1044,208699.2244
8520,1,16-0000001540,1,1,220,590,220,1,2,2,105,'','','',1798,2000-0000-000,16-001540,'',37.5478712,126.959815,549817.9866,196448.8932
9149,1,16-0000007866,1,2,380,590,220,3,2,2,105,'','','',9932,5,16-007866,5,37.4985098,126.9373112,544340.5767,194456.6046
9180,1,16-0000008888,1,2,380,590,220,1,2,2,105,'','','',10372,2000-0000-000,16-008888,'',37.5491681,126.9537597,549962.1729,195913.8634
9193,1,16-0000008368,1,2,220,590,220,1,2,2,105,'','','',11712,4,16-008368,4,37.4953742,126.9293554,543993.0641,193752.8341
9219,1,16-0000008387,1,2,220,590,220,1,2,2,105,'','','',10941,2000-0000-000,16-008387,'',37.4501431,126.9071592,538974.7244,191785.0549
7879,1,16-0000007890,1,1,380,590,220,3,2,2,105,'','','',11105,1,16-007890,1,37.5285566,126.9087151,547677.4591,191931.1663
7884,1,16-0000006865,1,1,220,590,220,1,2,2,105,'','','',6481,4,16-006865,4,37.5183478,126.933169,546542.5931,194091.8851
7905,1,16-0000002965,1,1,220,590,220,3,2,2,105,'','','',7194,5,16-002965,5,37.5678818,127.0523382,552039.4543,204623.8359
8598,1,16-0000002068,1,1,220,590,220,1,2,2,105,'','','',9034,5,16-002068,5,37.6483761,127.0771462,560974.9542,206808.1664
8280,1,16-0000004409,1,2,380,590,220,1,2,2,105,'','','',7007,2000-0000-000,16-004409,'',37.6241568,127.0893908,558287.8221,207891.3158
8288,1,16-0000008926,1,2,220,590,220,1,2,2,105,'','','',16205,1,16-008926,1,37.5064102,126.9625813,545216.2307,196691.5176
8630,1,16-0000006017,1,2,380,590,220,1,2,2,105,'','','',8605,2005-0108-179,16-006017,1,37.5464439,126.8652056,549667.3536,188088.1288
8968,1,16-0000008887,1,2,380,590,220,1,2,2,105,'','','',10371,1,16-008887,'',37.5494206,126.952471,549990.2541,195799.9984
8969,1,16-0000008889,1,2,380,590,220,1,2,2,105,'','','',10373,1,16-008889,'',37.5499177,126.9541362,550045.3531,195947.1743
8312,1,16-0000005949,1,2,220,590,220,1,2,2,105,'','','',3293,2004-1108-408,16-005949,1,37.5537147,126.9242881,550468.4802,193309.9398
8642,1,16-0000004870,1,2,380,590,220,1,2,2,105,'','','',7807,2000-0000-000,16-004870,'',37.5869901,127.0293359,554159.3728,202591.0277
9024,1,16-0000007891,1,1,380,590,220,1,2,2,105,'','','',11106,5,16-007891,5,37.5283525,126.9087943,547654.7997,191938.1449
8055,1,16-0000010860,1,2,220,590,220,1,2,1,105,'','','',13988,2000-0000-000,16-010860,'',37.5148629,126.9518708,546154.8031,195744.9977
9061,1,16-0000002725,1,1,220,590,220,1,2,2,105,'','','',11986,2000-0000-000,16-002725,'',37.523263,127.0470828,547087.0616,204162.0257
8016,1,16-0000004860,1,2,220,590,220,1,2,2,105,'','','',2763,2000-0000-000,16-004860,'',37.5584588,126.9319084,550994.5039,193983.6668
8736,1,16-0000010366,1,2,220,590,220,1,2,2,105,'','','',13197,2000-0000-000,16-010366,'',37.4977202,126.9593204,544251.8726,196402.7789
9082,1,16-0000007879,1,1,220,590,220,1,2,2,105,'','','',9948,5,16-007879,5,37.5388067,126.88285,548817.6276,189646.3207
