순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
1857,1,16-0000011006,1,2,380,590,220,1,2,2,105,'','','',16095,2000-0000-000,16-011006,'',37.5609284,126.8151089,551282.4887,183664.2084
1865,1,16-0000005302,1,1,220,590,220,1,2,2,105,'','','',16043,2000-0000-000,16-005302,'',37.4953423,126.914593,543990.6058,192447.3783
1887,1,16-0000010254,1,2,220,590,220,1,2,2,105,'','','',16044,2000-0000-000,16-010254,'',37.4955387,126.9145,544012.4111,192439.174
1888,1,16-0000005296,1,1,220,590,220,1,2,2,105,'','','',16045,2000-0000-000,16-005296,'',37.4958747,126.9144265,544049.7086,192432.7083
1889,1,16-0000005295,1,1,220,590,220,1,2,2,105,'','','',16046,2000-0000-000,16-005295,'',37.5455982,126.9147248,549568.3696,192464.0895
1750,1,16-0000009619,1,2,220,590,220,1,2,2,105,'','','',14468,2000-0000-000,16-009619,'',37.4918159,126.9234573,543598.5471,193230.9386
1943,1,16-0000008925,1,2,220,590,220,1,2,2,105,'','','',16206,1,16-008925,1,37.5064011,126.9620164,545215.2408,196641.57
2013,1,16-0000011005,1,2,380,590,220,1,2,2,105,'','','',16094,2000-0000-000,16-011005,'',37.5615185,126.8094805,551348.9761,183167.0514
1911,1,16-0000009526,1,2,220,590,220,1,2,2,105,'','','',16180,2000-0000-000,16-009526,'',37.5249579,126.9299275,547276.4398,193805.8706
1944,1,16-0000008924,1,2,220,590,220,1,2,2,105,'','','',16207,1,16-008924,1,37.5066273,126.9615368,545240.3633,196599.175
1945,1,16-0000008923,1,2,220,590,220,1,2,2,105,'','','',16208,1,16-008923,1,37.4959217,126.9295939,544053.8137,193773.9703
1950,1,16-0000005297,1,1,220,590,220,1,2,2,105,'','','',16047,2000-0000-000,16-005297,'',37.6643434,127.0613047,562746.1331,205408.9925
2102,1,16-0000008934,1,2,220,590,220,3,2,2,105,'','','',16210,4,16-008934,4,37.5344991,126.9666378,548333.6106,197051.2904
2337,1,16-0000008922,1,2,220,590,220,1,2,2,105,'','','',16209,2000-0000-000,16-008922,'',37.5348666,126.9665747,548374.4006,197045.7278
2499,1,16-0000008274,1,1,220,590,220,1,2,2,105,'','','',6262,10,16-008274,10,37.5046345,126.942268,545020.0589,194895.3376
2500,1,16-0000008278,1,1,220,590,220,1,2,2,105,'','','',6263,10,16-008278,10,37.5327564,126.8969846,548144.656,190894.7969
2501,1,16-0000008277,1,1,220,590,220,1,2,2,105,'','','',6264,10,16-008277,10,37.603343,127.1022152,555978.8702,209025.9545
2502,1,16-0000008275,1,1,220,590,220,1,2,2,105,'','','',6266,10,16-008275,10,37.6012457,127.1021109,555746.0829,209016.9976
4391,1,16-0000002729,1,1,220,590,220,1,2,2,105,'','','',2934,2000-0000-000,16-002729,'',37.4908962,127.0967552,543498.1178,208556.6612
4403,1,16-0000006728,1,2,220,590,220,1,2,2,105,'','','',3554,2000-0000-000,16-006728,'',37.5066042,126.914671,545240.525,192455.4091
4404,1,16-0000006729,1,2,220,590,220,1,2,2,105,'','','',3555,2000-0000-000,16-006729,'',37.5064272,126.914962,545220.857,192481.1209
4082,1,16-0000004049,1,2,380,590,220,1,2,2,105,'','','',4098,2000-0000-000,16-004049,'',37.5973807,127.0762499,555314.9418,206733.666
4087,1,16-0000006698,1,2,220,590,220,1,2,2,105,'','','',4474,2000-0000-000,16-006698,'',37.5674053,126.9458633,551986.6584,195217.2445
4757,1,16-0000000850,1,1,220,590,220,3,2,2,105,'','','',3762,5,16-000850,5,37.5251219,127.0214423,547292.5507,201895.4095
4095,1,16-0000006697,1,2,220,590,220,1,2,2,105,'','','',4473,2000-0000-000,16-006697,'',37.5647946,126.9739391,551695.8429,197697.546
4101,1,16-0000006699,1,2,220,590,220,1,2,2,105,'','','',4475,2000-0000-000,16-006699,'',37.6155673,126.9144851,557334.1604,192449.9756
4110,1,16-0000006013,1,2,220,590,220,1,2,2,105,'','','',5479,2005-0108-160,16-006013,1,37.4799843,127.0570341,542284.1718,205044.6117
4111,1,16-0000006012,1,2,220,590,220,1,2,2,105,'','','',5482,2005-0108-160,16-006012,1,37.5085255,127.0253862,545450.6469,202244.5308
4735,1,16-0000002966,1,1,220,590,220,1,2,2,105,'','','',4706,2000-0000-000,16-002966,'',37.5789795,126.924347,553272.5735,193317.4017
4109,1,16-0000006009,1,2,220,590,220,1,2,2,105,'','','',5478,2005-0108-160,16-006009,1,37.4810343,127.0563807,542400.673,204986.7493
4117,1,16-0000002962,1,1,220,590,220,3,2,2,105,'','','',3761,5,16-002962,5,37.5253762,127.0214114,547320.7742,201892.6717
4682,1,16-0000001813,1,1,220,590,220,3,2,2,105,'','','',3763,5,16-001813,5,37.5334277,127.1198311,548220.923,210591.3948
3919,1,16-0000002947,1,1,220,590,220,1,2,2,105,'','','',2950,2000-0000-000,16-002947,'',37.5038975,127.0371084,544937.3425,203281.1563
4402,1,16-0000002956,1,1,220,590,220,1,2,2,105,'','','',3518,2000-0000-000,16-002956,'',37.5781554,126.9372632,553180.2675,194458.2575
4902,1,16-0000005073,1,2,220,590,220,1,2,2,105,'','','',3691,2000-0000-000,16-005073,'',37.5141551,127.1159681,546081.4764,210252.5965
3895,1,16-0000001496,1,1,220,590,220,1,2,2,105,'','','',4048,2000-0000-000,16-001496,'',37.6016629,126.9984371,555787.486,199861.9875
4466,1,16-0000002959,1,1,220,590,220,1,2,2,105,'','','',3519,2000-0000-000,16-002959,'',37.5758467,126.9295369,552924.5122,193775.5764
4952,1,16-0000006868,1,1,220,590,220,1,2,2,105,'','','',3652,4,16-006868,4,37.5018109,127.1344293,544713.5992,211886.6863
4953,1,16-0000007555,1,2,220,590,220,1,2,2,105,'','','',3654,2000-0000-000,16-007555,'',37.5030122,127.1337056,544846.8369,211822.5049
4954,1,16-0000006867,1,1,220,590,220,1,2,2,105,'','','',3655,4,16-006867,4,37.5092996,127.1310618,545544.3291,211587.7631
4502,1,16-0000006713,1,1,220,590,220,3,2,2,105,'','','',3548,1,16-006713,1,37.510559,126.9451237,545677.4514,195148.222
4503,1,16-0000002730,1,1,220,590,220,1,2,2,105,'','','',3556,2000-0000-000,16-002730,'',37.5065518,126.9146855,545234.7081,192456.6859
4488,1,16-0000004872,1,2,380,590,220,1,2,2,105,'','','',1356,2000-0000-000,16-004872,'',37.5645183,126.911708,551668.5218,192199.4622
4496,1,16-0000002576,2,2,220,590,220,1,2,2,105,'','','',5015,2000-0000-000,16-002576,'',37.6335215,126.9167715,559326.7051,192653.6068
4510,1,16-0000008276,1,1,220,590,220,1,2,2,105,'','','',6265,10,16-008276,10,37.6023927,127.1021689,555873.3928,209021.9808
4516,1,16-0000006010,1,2,220,590,220,1,2,2,105,'','','',5480,2005-0108-160,16-006010,1,37.4797454,127.0571748,542257.6646,205057.0726
4339,1,16-0000004052,1,2,380,590,220,1,2,2,105,'','','',3552,2000-0000-000,16-004052,'',37.5060161,126.9472369,545173.1408,195334.7736
4340,1,16-0000002948,1,1,220,590,220,1,2,2,105,'','','',3985,2000-0000-000,16-002948,'',37.6198665,127.0675059,557810.0296,205959.6845
4348,1,16-0000006061,1,2,220,590,220,1,2,2,105,'','','',3553,2006-1108-042,16-006061,5,37.5350908,127.1334117,548407.1228,211791.4688
